Year,England+Wales,Scotland,Northern Ireland
2001-2010,"No E+W PCON population series in Nomis (pre-2011)","NRS PCON 2005 boundaries (2001 onward)","NISRA PCON historical series (mid-2001 to mid-2020)"
2011-2020,"Nomis NM_2010_1 / TYPE460 (PCON Dec 2010 boundaries)","NRS PCON 2005 boundaries (2001 onward)","NISRA PCON historical series (mid-2001 to mid-2020)"
2021-2024,"Nomis NM_2014_1 / TYPE172 (PCON Jul 2024 boundaries)","NRS PCON 2005 boundaries (2001 onward)","NISRA PCON 2024 series (2021-2024)"
